16 27
000000000000000000000000000	000000000000000000000000000
000000000000000000000000000	000000000000000000000000000
011111111111111111111111112	211111111111111111111111112
011111111111111111111111112	211111111111111111111111112
001100000000001111110000000	000000001111100000000000110
001100000000001111110000000	000000000111000000111100110
000000000000001111111111100	000000000111000000111111110
000000011111111111111111100	000000000111000000110000110
000000011111111111111111100	000000000111000000000000110
000000000011001111111111100	000000000111000001111111110
000000000011001111111111100	000000000111000001111111100
000000000011001111111111100	000000000111000000000110000
000000000011001111111111100	000000000111000000000110000
000000000011000000000000000	000000000111000111111110000
000000000011000000000000000	000000000111000111111110000
000000000022000000000000000	000000000111000000000000000

000000000022000000000000000	000000000111000000000000000
000111111111111111111100000	000000000111000000111110000
000110000000000000001100000	000000000111000000110110000
001111111100000011111100000	000000000111000000110110000
001111111100000011111111110	000000000111000000000010000
000000110000000011111100110	000000000111000000000010000
000111110000000011111100110	000000000111000000000010000
000111111000000000000000110	000000000111111111111111100
001111110000000000000000110	000000000111000000001111100
001111110000001111111111112	211111111111000000001111100
000111110111111111110000000	000000000111000000000000000
000111110111111111110000000	000000000111000000000000000
000000000110011100110000000	000000000111000000000000000
000000000110011100110000000	000000000111000000000000000
011111111111111111111111112	211111111111111111111111112
011111111111111111111111112	211111111111111111111111112
000000000000000000000000000	000000000000000000000000000
